AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
8260B136501,136501,Monasterevin,Mainistir Eimhín,Monasterevin,Mainistir Eimhín,,E0826017,662682,710143,53.1381216679032,-7.06318790602352,BCT,MKD,OTH,E,,826,TRUE
8260B136421,136421,Leinster Street,Sráid Laighean,Leinster Street,Sráid Laighean,,E0826002,668197,693982,52.9922230927823,-6.98419984414576,BCT,MKD,OTH,E,,826,TRUE
8260B136431,136431,Kilcullen,Cill Chuillinn,Kilcullen,Cill Chuillinn,,E0826008,683917,709576,53.1301079805232,-6.74604179964512,BCT,MKD,OTH,NE,,826,TRUE
8260B136381,136381,Carnalway,Carn Almhaí,Carnalway,Carn Almhaí,,E0826282,685603,711825,53.1500472978748,-6.72025446260591,BCT,CUS,OTH,NE,,826,TRUE
8260B136371,136371,Two Mile House,Teach an Dá Mhíle,Two Mile House,Teach an Dá Mhíle,,E0826038,687272,713362,53.1635863777645,-6.69489148312693,BCT,CUS,OTH,NE,,826,TRUE
8260B136361,136361,Killashee,Cill Uasaille,Killashee,Cill Uasaille,,E0826712,688504,716846,53.1946860854498,-6.67550885361631,BCT,MKD,OTH,NE,,826,TRUE
8260B102101,102101,Irishtown Upper,Baile na nGael Uach,Irishtown Upper,Baile na nGael Uach,,E0826056,689804,729960,53.3122921361159,-6.65236139421748,BCT,MKD,OTH,NE,,826,TRUE
8260B102091,102091,Barberstown Road,Baile an Bharbaigh,Barberstown Road,Baile an Bharbaigh,,E0826056,692854,730527,53.3168605226119,-6.60644039719256,BCT,MKD,OTH,N,,826,TRUE
8260B136401,136401,Luí Na Gréine,Luí Na Gréine,Luí Na Gréine,Luí Na Gréine,,E0826008,684683,710916,53.1420268760128,-6.73424475601891,BCT,MKD,OTH,SW,,826,TRUE
8260B136391,136391,Luí Na Gréine,Luí Na Gréine,Luí Na Gréine,Luí Na Gréine,,E0826008,684655,710909,53.1419684276598,-6.73466500844998,BCT,MKD,OTH,NE,,826,TRUE
8260B105211,105211,Barrington Court,Cúirt Barrington,Barrington Court,Cúirt Barrington,,E0826030,682839,727127,53.2879727270537,-6.75759225066986,BCT,MKD,OTH,W,,826,TRUE
8260B105971,105971,Fairgreen St,Sd Fhaiche an Aonaigh,Fairgreen St,Sd Fhaiche an Aonaigh,,E0826019,689225,718837,53.2124542111056,-6.66416583341509,BCT,CUS,OTH,N,,826,TRUE
8260B105961,,Fairgreen St,Sd Fhaiche an Aonaigh,Fairgreen St,Sd Fhaiche an Aonaigh,,E0826019,689232,718846,53.2125338986816,-6.66405854811303,BCT,CUS,OTH,N,,826,TRUE
826000049,,Monasterevin Supervalu,,,,,E0826017,663069,710654,53.1426678874419,-7.05730433033474,BCT,CUS,OTH,N,,826,TRUE
826000048,,Moore Abbey,,,,,E0826017,663486,710129,53.1379007367131,-7.05117630949009,BCT,CUS,OTH,NW,,826,TRUE
826000043,,Ruanbeg,,,,,E0826010,674041,712173,53.1549059845633,-6.89298526996313,BCT,CUS,OTH,N,,826,TRUE
826000086,,Kerry Group,Kerry Group,Kerry Group,Kerry Group,,E0826019,688000,720997,53.2320653738297,-6.68190479081861,BCT,CUS,OTH,N,,826,TRUE
826000095,,VISTA Naas,,,,,E0826019,689285,718627,53.2105573567838,-6.66332654356675,BCT,CUS,OTH,N,,826,TRUE
826000080,,Timolin Terrace,,,,,E0826049,680004,693556,52.9867630200755,-6.80847740726739,BCT,CUS,OTH,N,,826,TRUE
826000081,,Timolin Terrace,,,,,E0826049,680011,693553,52.9867350188321,-6.80837392080909,BCT,CUS,OTH,S,,826,TRUE
826000060,,Crookstown Service Station,,,,,E0826010,680429,697074,53.0183103514124,-6.80127386832225,BCT,CUS,OTH,N,,826,TRUE
826000062,,Crookstown Service Station,,,,,E0826010,680436,697068,53.0182553872722,-6.80117105873627,BCT,CUS,OTH,S,,826,TRUE
826000057,,Priory Restaurant,,,,,E0826702,682548,702040,53.0626089738734,-6.76842870790972,BCT,CUS,OTH,NE,,826,TRUE
826000058,,Priory Restaurant,,,,,E0826702,682573,702040,53.0626051133417,-6.7680558157317,BCT,CUS,OTH,SW,,826,TRUE
8260B105931,105931,Ballyshannon NS,SN Bhaile Sonnáin,Ballyshannon NS,SN Bhaile Sonnáin,,E0826168,679372,704751,53.0874493749647,-6.81513300827562,BCT,MKD,OTH,SW,,826,TRUE
826000173,,University Campus,,,,,E0826015,692854,738010,53.3840897081809,-6.60424572484455,BCT,CUS,OTH,N,,826,TRUE
826000174,,Boardleas,,,,,E0826276,692967,707542,53.1103325759556,-6.6114395704737,BCT,CUS,OTH,N,,826,TRUE
8260LL10129,10129,Greyhound Stadium,Staid na gCúnna,Greyhound Stadium,Staid na gCúnna,,E0826001,678846,716310,53.1913887949294,-6.82014060545802,BCT,MKD,OTH,SE,,826,TRUE
8260LL10135,10135,Greyhound Stadium,Staid na gCúnna,Greyhound Stadium,Staid na gCúnna,,E0826001,678837,716311,53.1913991135684,-6.82027500443949,BCT,CUS,OTH,N,,826,TRUE
8260LL10127,10127,Kildare Golf Club,Cl Gailf Chill Dara,Kildare Golf Club,Cl Gailf Chill Dara,,E0826238,673681,714257,53.1736817489613,-6.8978870142168,BCT,CUS,OTH,N,,826,TRUE
8260LLL10137,10137,Kildare Golf Club,Cl Gailf Chill Dara,Kildare Golf Club,Cl Gailf Chill Dara,,E0826238,673695,714268,53.1737786523739,-6.89767511234276,BCT,CUS,OTH,N,,826,TRUE
