Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
,,30.36744286710,,"0","0","0","0","0",0.00000000000,"0","0","1123",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","2604",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,30.36744286710
,,56.13560218640,,"0","0","0","0","0",0.00000000000,"0","0","1124",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","2611",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,56.13560218640
,,35.56994822850,,"0","0","0","0","0",0.00000000000,"0","0","1125",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","2612",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,35.56994822850
,,54.27099711770,,"0","0","0","0","0",0.00000000000,"1","0","1126",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","2767",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,54.27099711770
,,273.63756718900,,"0","0","0","0","0",0.00000000000,"0","1","1127",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","1232",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,273.63756718900
,,236.43961479500,,"0","0","0","0","0",0.00000000000,"1","1","1128",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","1284",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,236.43961479500
,,107.54113641900,,"0","0","0","0","0",0.00000000000,"0","0","1129",gda_base_cycle_network,segregatedcyclelane,,"0","0","1","0","0","0","1","0","1","1","1328",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,107.54113641900
,,20.57628626600,,"0","0","0","0","0",0.00000000000,"1","1","1130",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","1330",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,20.57628626600
,,54.01059615430,,"0","0","0","0","0",0.00000000000,"1","0","1131",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","1334",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,54.01059615430
,,49.45654523830,,"0","0","0","0","0",0.00000000000,"0","0","1132",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","979",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,49.45654523830
